candidate_id,rank,score,reasoning
CAND_0018499,1,0.9034,"Senior Machine Learning Engineer with 7.2 yrs; career evidence for embeddings, retrieval, ranking; 6 relevant AI/search skill groups; 7.2 yrs outside pure services; response rate 0.61."
CAND_0081846,2,0.8744,"Lead AI Engineer with 6.7 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 6.6 yrs outside pure services; response rate 0.73."
CAND_0077337,3,0.8740,"Staff Machine Learning Engineer with 7.0 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 6.9 yrs outside pure services; response rate 0.95."
CAND_0051630,4,0.8734,"Machine Learning Engineer with 6.0 yrs; career evidence for embeddings, retrieval, ranking; 6 relevant AI/search skill groups; 5.9 yrs outside pure services; response rate 0.51. Concern: 90-day notice."
CAND_0005538,5,0.8616,"Senior AI Engineer with 5.9 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 5.8 yrs outside pure services; response rate 0.81. Concern: 90-day notice."
CAND_0002025,6,0.8576,"Senior AI Engineer with 5.9 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 5.8 yrs outside pure services; response rate 0.80."
CAND_0005649,7,0.8575,"Senior Data Scientist with 7.4 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 7.3 yrs outside pure services; response rate 0.57. Concern: 90-day notice."
CAND_0042029,8,0.8546,"Senior Data Scientist with 6.5 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 6.5 yrs outside pure services; response rate 0.67."
CAND_0079387,9,0.8511,"AI Engineer with 6.9 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 6.8 yrs outside pure services; response rate 0.81."
CAND_0015578,10,0.8502,"AI Engineer with 5.4 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 5.3 yrs outside pure services; response rate 0.65. Concern: 90-day notice."
CAND_0029367,11,0.8490,"Senior Data Scientist with 5.7 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 5.6 yrs outside pure services; response rate 0.77. Concern: 90-day notice."
CAND_0088025,12,0.8455,"Staff Machine Learning Engineer with 8.6 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 8.5 yrs outside pure services; response rate 0.83. Concern: 90-day notice."
CAND_0030031,13,0.8452,"AI Engineer with 5.7 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 5.6 yrs outside pure services; response rate 0.94."
CAND_0098846,14,0.8446,"AI Engineer with 7.6 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 7.5 yrs outside pure services; response rate 0.62."
CAND_0064326,15,0.8445,"Search Engineer with 7.6 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 7.6 yrs outside pure services; response rate 0.94."
CAND_0070202,16,0.8408,"Machine Learning Engineer with 5.1 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 5.1 yrs outside pure services; response rate 0.60. Concern: 90-day notice."
CAND_0065878,17,0.8388,"Senior Data Scientist with 7.8 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 7.7 yrs outside pure services; response rate 0.48."
CAND_0060072,18,0.8385,"Staff Machine Learning Engineer with 5.7 yrs; career evidence for embeddings, retrieval, ranking; 6 relevant AI/search skill groups; 5.7 yrs outside pure services; response rate 0.10. Concern: 90-day notice."
CAND_0006418,19,0.8367,"Machine Learning Engineer with 5.7 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 5.6 yrs outside pure services; response rate 0.92."
CAND_0020877,20,0.8357,"Applied ML Engineer with 5.1 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 5.0 yrs outside pure services; response rate 0.66."
CAND_0069905,21,0.8339,"Applied ML Engineer with 6.6 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 6.5 yrs outside pure services; response rate 0.78. Concern: 90-day notice."
CAND_0058688,22,0.8326,"AI Engineer with 6.7 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 6.7 yrs outside pure services; response rate 0.74."
CAND_0024620,23,0.8319,"AI Engineer with 5.9 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 5.8 yrs outside pure services; response rate 0.41."
CAND_0049538,24,0.8312,"Applied ML Engineer with 5.8 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 5.7 yrs outside pure services; response rate 0.72."
CAND_0095528,25,0.8308,"Senior Data Scientist with 5.3 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 5.2 yrs outside pure services; response rate 0.55."
CAND_0045250,26,0.8306,"Applied ML Engineer with 6.6 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 6.5 yrs outside pure services; response rate 0.74."
CAND_0009024,27,0.8281,"Search Engineer with 5.2 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 5.1 yrs outside pure services; response rate 0.46."
CAND_0006567,28,0.8272,"Senior AI Engineer with 7.9 yrs; career evidence for retrieval, ranking, vector search; 5 relevant AI/search skill groups; 7.8 yrs outside pure services; response rate 0.79."
CAND_0058575,29,0.8260,"AI Engineer with 5.8 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 5.8 yrs outside pure services; response rate 0.69. Concern: 90-day notice."
CAND_0064904,30,0.8258,"AI Engineer with 4.9 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 4.8 yrs outside pure services; response rate 0.78. Concern: 90-day notice."
CAND_0060054,31,0.8246,"AI Engineer with 6.4 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 6.3 yrs outside pure services; response rate 0.86."
CAND_0046525,32,0.8227,"Senior Machine Learning Engineer with 6.1 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 6.1 yrs outside pure services; response rate 0.88."
CAND_0071974,33,0.8211,"Senior AI Engineer with 7.8 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 7.7 yrs outside pure services; response rate 0.76."
CAND_0075574,34,0.8209,"Machine Learning Engineer with 5.7 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 5.7 yrs outside pure services; response rate 0.58."
CAND_0061257,35,0.8201,"Staff Machine Learning Engineer with 8.0 yrs; career evidence for retrieval, ranking, vector search; 4 relevant AI/search skill groups; 7.9 yrs outside pure services; response rate 0.87."
CAND_0037566,36,0.8196,"Machine Learning Engineer with 6.9 yrs; career evidence for embeddings, retrieval, ranking; 3 relevant AI/search skill groups; 6.8 yrs outside pure services; response rate 0.50."
CAND_0068351,37,0.8192,"Lead AI Engineer with 6.4 yrs; career evidence for retrieval, ranking, vector search; 5 relevant AI/search skill groups; 6.3 yrs outside pure services; response rate 0.86."
CAND_0065195,38,0.8181,"Search Engineer with 5.1 yrs; career evidence for embeddings, retrieval, ranking; 3 relevant AI/search skill groups; 5.1 yrs outside pure services; response rate 0.80."
CAND_0015528,39,0.8179,"Applied ML Engineer with 7.4 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 7.2 yrs outside pure services; response rate 0.53."
CAND_0030953,40,0.8157,"Search Engineer with 7.8 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 7.7 yrs outside pure services; response rate 0.63."
CAND_0042506,41,0.8155,"Search Engineer with 4.2 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 4.2 yrs outside pure services; response rate 0.48."
CAND_0081686,42,0.8154,"Search Engineer with 6.0 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 5.9 yrs outside pure services; response rate 0.91."
CAND_0080766,43,0.8142,"Staff Machine Learning Engineer with 8.8 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 8.8 yrs outside pure services; response rate 0.66."
CAND_0050454,44,0.8130,"AI Engineer with 6.8 yrs; career evidence for embeddings, retrieval, ranking; 3 relevant AI/search skill groups; 6.8 yrs outside pure services; response rate 0.77."
CAND_0051004,45,0.8129,"Senior Data Scientist with 4.7 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 4.7 yrs outside pure services; response rate 0.41."
CAND_0049896,46,0.8119,"Search Engineer with 7.3 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 7.2 yrs outside pure services; response rate 0.43. Concern: 90-day notice."
CAND_0079284,47,0.8116,"Machine Learning Engineer with 4.9 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 4.8 yrs outside pure services; response rate 0.79."
CAND_0078002,48,0.8099,"Machine Learning Engineer with 6.3 yrs; career evidence for embeddings, retrieval, ranking; 3 relevant AI/search skill groups; 6.2 yrs outside pure services; response rate 0.86."
CAND_0070398,49,0.8098,"Machine Learning Engineer with 7.2 yrs; career evidence for embeddings, retrieval, ranking; 6 relevant AI/search skill groups; 7.1 yrs outside pure services; response rate 0.60. Concern: 120-day notice."
CAND_0044855,50,0.8093,"Senior Data Scientist with 6.6 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 6.5 yrs outside pure services; response rate 0.57."
CAND_0027691,51,0.8089,"NLP Engineer with 6.5 yrs; career evidence for embeddings, retrieval, ranking; 6 relevant AI/search skill groups; 6.3 yrs outside pure services; response rate 0.68."
CAND_0068811,52,0.8085,"Applied ML Engineer with 8.0 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 7.9 yrs outside pure services; response rate 0.42."
CAND_0052682,53,0.8073,"NLP Engineer with 6.6 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 6.5 yrs outside pure services; response rate 0.88."
CAND_0074735,54,0.8070,"Applied ML Engineer with 5.5 yrs; career evidence for embeddings, retrieval, ranking; 3 relevant AI/search skill groups; 5.4 yrs outside pure services; response rate 0.77. Concern: 90-day notice."
CAND_0037944,55,0.8069,"Senior Data Scientist with 4.9 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 4.8 yrs outside pure services; response rate 0.42."
CAND_0044883,56,0.8067,"AI Engineer with 6.3 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 6.2 yrs outside pure services; response rate 0.84. Concern: 90-day notice."
CAND_0093193,57,0.8053,"Senior Machine Learning Engineer with 7.9 yrs; career evidence for retrieval, ranking, vector search; 5 relevant AI/search skill groups; 7.8 yrs outside pure services; response rate 0.61."
CAND_0007411,58,0.8049,"Senior Machine Learning Engineer with 8.0 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 7.9 yrs outside pure services; response rate 0.12."
CAND_0094759,59,0.8049,"Lead AI Engineer with 8.6 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 8.4 yrs outside pure services; response rate 0.11."
CAND_0042100,60,0.8046,"Machine Learning Engineer with 7.3 yrs; career evidence for retrieval, ranking, vector search; 5 relevant AI/search skill groups; 7.2 yrs outside pure services; response rate 0.87. Concern: 90-day notice."
CAND_0054123,61,0.8046,"Applied ML Engineer with 4.7 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 4.6 yrs outside pure services; response rate 0.87."
CAND_0055905,62,0.8040,"Senior Machine Learning Engineer with 8.1 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 8.0 yrs outside pure services; response rate 0.87."
CAND_0011687,63,0.8014,"Senior NLP Engineer with 7.8 yrs; career evidence for embeddings, retrieval, ranking; 5 relevant AI/search skill groups; 7.7 yrs outside pure services; response rate 0.89."
CAND_0061339,64,0.8006,"Search Engineer with 4.2 yrs; career evidence for embeddings, retrieval, ranking; 4 relevant AI/search skill groups; 4.1 yrs outside pure services; response rate 0.90. Concern: 90-day notice."
CAND_0093912,65,0.7999,"Senior Data Scientist with 5.3 yrs; career evidence for embeddings, retrieval, ranking; 3 relevant AI/search skill groups; 5.2 yrs outside pure services; response rate 0.66."
CAND_0091909,66,0.7992,"Machine Learning Engineer with 6.9 yrs; career evidence for embeddings, retrieval, ranking; 3 relevant AI/search skill groups; 6.8 yrs outside pure services; response rate 0.65."
CAND_0020708,67,0.7968,"Search Engineer with 4.2 yrs; career evidence for embeddings, retrieval, ranking; 3 relevant AI/search skill groups; 4.2 yrs outside pure services; response rate 0.84."
